idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
171;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:30:00Z;-20;acme;a;007955_0x40
172;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:40:00Z;-19,01;acme;a;007955_0x40
173;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:50:00Z;-19,53;acme;a;007955_0x40
174;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:00:00Z;-19,41;acme;a;007955_0x40
175;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:10:00Z;-19;acme;a;007955_0x40
176;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:20:00Z;-19,84;acme;a;007955_0x40
177;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:30:00Z;-18,66;acme;a;007955_0x40
178;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:40:00Z;-19,83;acme;a;007955_0x40
179;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T05:50:00Z;-18,73;acme;a;007955_0x40
180;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:00:00Z;-19,76;acme;a;007955_0x40
181;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:10:00Z;-19,21;acme;a;007955_0x40
182;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:20:00Z;-19,28;acme;a;007955_0x40
183;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:30:00Z;-19,66;acme;a;007955_0x40
184;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:40:00Z;-18,64;acme;a;007955_0x40
185;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T06:50:00Z;-19,99;acme;a;007955_0x40
186;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T07:00:00Z;-17,51;acme;a;007955_0x40
187;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T07:10:00Z;-19,79;acme;a;007955_0x40
188;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T07:20:00Z;-18,38;acme;a;007955_0x40
189;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T07:30:00Z;-19,36;acme;a;007955_0x40
